CouncilArea,Date,Price
Banyule City Council,1/07/2017,990000.0
Banyule City Council,10/09/2016,1650000.0
Banyule City Council,11/11/2017,3295000.0
Banyule City Council,12/08/2017,1170000.0
Banyule City Council,13/05/2017,2325000.0
Banyule City Council,13/08/2016,2530000.0
Banyule City Council,14/05/2016,2700000.0
Banyule City Council,14/10/2017,3006000.0
Banyule City Council,15/07/2017,2754000.0
Banyule City Council,15/10/2016,2050000.0
Banyule City Council,16/04/2016,3135000.0
Banyule City Council,16/07/2016,1171000.0
Banyule City Council,16/09/2017,4305000.0
Banyule City Council,17/02/2018,0.0
Banyule City Council,17/03/2018,4236000.0
Banyule City Council,17/06/2017,840000.0
Banyule City Council,17/09/2016,1025000.0
Banyule City Council,18/06/2016,5415000.0
Banyule City Council,18/11/2017,0.0
Banyule City Council,19/08/2017,1115000.0
Banyule City Council,19/11/2016,1720000.0
Banyule City Council,22/04/2017,610000.0
Banyule City Council,22/05/2016,1797000.0
Banyule City Council,22/07/2017,985000.0
Banyule City Council,22/08/2016,1085000.0
Banyule City Council,24/02/2018,4290000.0
Banyule City Council,24/06/2017,1930000.0
Banyule City Council,24/09/2016,0.0
Banyule City Council,25/02/2017,2090000.0
Banyule City Council,25/11/2017,4090000.0
Banyule City Council,26/07/2016,0.0
Banyule City Council,26/08/2017,8786000.0
Banyule City Council,27/05/2017,4117000.0
Banyule City Council,27/06/2016,0.0
Banyule City Council,27/11/2016,5152000.0
Banyule City Council,28/05/2016,2595000.0
Banyule City Council,28/08/2016,2309000.0
Banyule City Council,29/04/2017,2710000.0
Banyule City Council,29/07/2017,1820000.0
Banyule City Council,3/03/2018,5497500.0
Banyule City Council,3/06/2017,1670000.0
Banyule City Council,3/12/2016,6461000.0
Banyule City Council,30/07/2016,1030000.0
Banyule City Council,4/03/2017,915000.0
Banyule City Council,4/06/2016,981000.0
Banyule City Council,6/01/2018,1470000.0
Banyule City Council,6/05/2017,1450000.0
Banyule City Council,6/08/2016,1587500.0
Banyule City Council,7/10/2017,5916500.0
Banyule City Council,7/11/2016,1740000.0
Banyule City Council,8/07/2017,3128000.0
Banyule City Council,8/10/2016,0.0
Banyule City Council,9/09/2017,3592000.0
Banyule City Council,9/12/2017,2300000.0
Bayside City Council,1/07/2017,7931000.0
Bayside City Council,10/02/2018,950000.0
Bayside City Council,10/09/2016,12850000.0
Bayside City Council,10/12/2016,18757000.0
Bayside City Council,11/11/2017,13306000.0
Bayside City Council,12/08/2017,14435000.0
Bayside City Council,12/11/2016,13290000.0
Bayside City Council,13/05/2017,4325000.0
Bayside City Council,13/08/2016,1650000.0
Bayside City Council,14/05/2016,3472000.0
Bayside City Council,14/10/2017,4175000.0
Bayside City Council,15/07/2017,2800000.0
Bayside City Council,15/10/2016,9655888.0
Bayside City Council,16/04/2016,2100000.0
Bayside City Council,16/09/2017,10893000.0
Bayside City Council,17/02/2018,10225000.0
Bayside City Council,17/03/2018,14182000.0
Bayside City Council,17/06/2017,2100000.0
Bayside City Council,17/09/2016,5436000.0
Bayside City Council,18/03/2017,10768500.0
Bayside City Council,18/06/2016,3700000.0
Bayside City Council,18/11/2017,23705000.0
Bayside City Council,19/08/2017,13540000.0
Bayside City Council,19/11/2016,6855000.0
Bayside City Council,20/05/2017,4915000.0
Bayside City Council,21/10/2017,9516000.0
Bayside City Council,22/05/2016,1450000.0
Bayside City Council,22/07/2017,1850000.0
Bayside City Council,23/04/2016,2200000.0
Bayside City Council,23/09/2017,6661000.0
Bayside City Council,24/02/2018,1650000.0
Bayside City Council,24/06/2017,4970000.0
Bayside City Council,24/09/2016,1310000.0
Bayside City Council,25/02/2017,6375000.0
Bayside City Council,26/08/2017,9330000.0
Bayside City Council,27/05/2017,11860800.0
Bayside City Council,27/06/2016,4260000.0
Bayside City Council,27/11/2016,4560000.0
Bayside City Council,28/05/2016,4936000.0
Bayside City Council,28/08/2016,0.0
Bayside City Council,28/10/2017,41676000.0
Bayside City Council,29/04/2017,6150000.0
Bayside City Council,29/07/2017,1535000.0
Bayside City Council,3/03/2018,9970000.0
Bayside City Council,3/06/2017,6180000.0
Bayside City Council,3/09/2016,6050000.0
Bayside City Council,3/09/2017,11050000.0
Bayside City Council,3/12/2016,12480000.0
Bayside City Council,30/07/2016,0.0
Bayside City Council,4/03/2017,7155000.0
Bayside City Council,4/06/2016,5925000.0
Bayside City Council,6/01/2018,5500000.0
Bayside City Council,6/05/2017,0.0
Bayside City Council,6/08/2016,2520000.0
Bayside City Council,7/05/2016,4530000.0
Bayside City Council,7/11/2016,0.0
Bayside City Council,8/04/2017,8700000.0
Bayside City Council,8/07/2017,850000.0
Bayside City Council,8/10/2016,4490000.0
Bayside City Council,9/09/2017,7610000.0
Bayside City Council,9/12/2017,19655000.0
Boroondara City Council,1/07/2017,2525000.0
Boroondara City Council,10/02/2018,1950000.0
Boroondara City Council,10/09/2016,8775000.0
Boroondara City Council,10/12/2016,25835000.0
Boroondara City Council,11/03/2017,4720000.0
Boroondara City Council,11/11/2017,4700000.0
Boroondara City Council,12/06/2016,3850000.0
Boroondara City Council,12/08/2017,22335000.0
Boroondara City Council,12/11/2016,12250000.0
Boroondara City Council,13/05/2017,29635000.0
Boroondara City Council,13/08/2016,10700000.0
Boroondara City Council,14/05/2016,9780000.0
Boroondara City Council,14/10/2017,6400000.0
Boroondara City Council,15/07/2017,0.0
Boroondara City Council,15/10/2016,15054000.0
Boroondara City Council,16/04/2016,8361000.0
Boroondara City Council,16/09/2017,45161000.0
Boroondara City Council,17/03/2018,35295000.0
Boroondara City Council,17/06/2017,20324000.0
Boroondara City Council,17/09/2016,13700000.0
Boroondara City Council,18/03/2017,21563000.0
Boroondara City Council,18/06/2016,16600000.0
Boroondara City Council,18/11/2017,36271500.0
Boroondara City Council,19/08/2017,17907000.0
Boroondara City Council,19/11/2016,13887500.0
Boroondara City Council,20/05/2017,12905000.0
Boroondara City Council,21/10/2017,17708000.0
Boroondara City Council,22/04/2017,1680000.0
Boroondara City Council,22/05/2016,12715000.0
Boroondara City Council,22/07/2017,6650000.0
Boroondara City Council,22/08/2016,7917000.0
Boroondara City Council,23/04/2016,0.0
Boroondara City Council,23/09/2017,7345000.0
Boroondara City Council,24/02/2018,31375000.0
Boroondara City Council,24/06/2017,14020000.0
Boroondara City Council,24/09/2016,6470000.0
Boroondara City Council,25/02/2017,12895000.0
Boroondara City Council,25/11/2017,0.0
Boroondara City Council,26/07/2016,2000000.0
Boroondara City Council,26/08/2017,23197500.0
Boroondara City Council,27/05/2017,13795000.0
Boroondara City Council,27/06/2016,7125000.0
Boroondara City Council,27/11/2016,22680000.0
Boroondara City Council,28/05/2016,25982000.0
Boroondara City Council,28/08/2016,10750000.0
Boroondara City Council,28/10/2017,49723000.0
Boroondara City Council,29/04/2017,4095000.0
Boroondara City Council,29/07/2017,5262000.0
Boroondara City Council,3/03/2018,17110000.0
Boroondara City Council,3/06/2017,6348000.0
Boroondara City Council,3/09/2016,23003000.0
Boroondara City Council,3/09/2017,15851000.0
Boroondara City Council,3/12/2016,26570000.0
Boroondara City Council,30/07/2016,4650000.0
Boroondara City Council,4/03/2017,4550000.0
Boroondara City Council,4/06/2016,9200000.0
Boroondara City Council,4/11/2017,0.0
Boroondara City Council,6/01/2018,12040000.0
Boroondara City Council,6/05/2017,7550000.0
Boroondara City Council,6/08/2016,9000000.0
Boroondara City Council,7/05/2016,3815000.0
Boroondara City Council,7/10/2017,7975000.0
Boroondara City Council,7/11/2016,10738000.0
Boroondara City Council,8/04/2017,3115000.0
