,CouncilArea,Date,Price
0,Banyule City Council,2016,46133500.0
1,Banyule City Council,2017,65909500.0
2,Banyule City Council,2018,15493500.0
3,Bayside City Council,2016,132476888.0
4,Bayside City Council,2017,274017300.0
5,Bayside City Council,2018,42477000.0
6,Boroondara City Council,2016,334632500.0
7,Boroondara City Council,2017,465201000.0
8,Boroondara City Council,2018,97770000.0
9,Brimbank City Council,2016,8486000.0
10,Brimbank City Council,2017,30473500.0
11,Brimbank City Council,2018,11495000.0
12,Cardinia Shire Council,2017,910000.0
13,Casey City Council,2017,8646008.0
14,Casey City Council,2018,6298000.0
15,Darebin City Council,2016,43304000.0
16,Darebin City Council,2017,42387000.0
17,Darebin City Council,2018,8175000.0
18,Frankston City Council,2017,5400888.0
19,Frankston City Council,2018,4130000.0
20,Glen Eira City Council,2016,54494000.0
21,Glen Eira City Council,2017,90444000.0
22,Glen Eira City Council,2018,20806500.0
23,Greater Dandenong City Council,2017,4132000.0
24,Greater Dandenong City Council,2018,920000.0
25,Hobsons Bay City Council,2016,25267000.0
26,Hobsons Bay City Council,2017,31404000.0
27,Hobsons Bay City Council,2018,14684000.0
28,Hume City Council,2016,751000.0
29,Hume City Council,2017,31314750.0
30,Hume City Council,2018,7001500.0
31,Kingston City Council,2016,3230000.0
32,Kingston City Council,2017,41342500.0
33,Kingston City Council,2018,13232500.0
34,Knox City Council,2017,17270000.0
35,Knox City Council,2018,8922389.0
36,Macedon Ranges Shire Council,2017,4201000.0
37,Macedon Ranges Shire Council,2018,940000.0
38,Manningham City Council,2016,31755800.0
39,Manningham City Council,2017,133387000.0
40,Manningham City Council,2018,25174000.0
41,Maribyrnong City Council,2016,18925000.0
42,Maribyrnong City Council,2017,34990000.0
43,Maribyrnong City Council,2018,4900000.0
44,Maroondah City Council,2017,17931000.0
45,Maroondah City Council,2018,3002000.0
46,Melbourne City Council,2016,26966000.0
47,Melbourne City Council,2017,59479000.0
48,Melbourne City Council,2018,0.0
49,Melton City Council,2017,4425500.0
50,Melton City Council,2018,680000.0
51,Mitchell Shire Council,2018,600000.0
52,Monash City Council,2016,14099500.0
53,Monash City Council,2017,98862766.0
54,Monash City Council,2018,27454000.0
55,Moonee Valley City Council,2016,67834999.0
56,Moonee Valley City Council,2017,117561500.0
57,Moonee Valley City Council,2018,25238500.0
58,Moorabool Shire Council,2017,0.0
59,Moreland City Council,2016,18166000.0
60,Moreland City Council,2017,44052500.0
61,Moreland City Council,2018,4350000.0
62,Nillumbik Shire Council,2017,4538000.0
63,Nillumbik Shire Council,2018,1720000.0
64,Port Phillip City Council,2016,34918000.0
65,Port Phillip City Council,2017,57360000.0
66,Port Phillip City Council,2018,21785000.0
67,Stonnington City Council,2016,84447000.0
68,Stonnington City Council,2017,112349657.0
69,Stonnington City Council,2018,56700000.0
70,Whitehorse City Council,2016,1670000.0
71,Whitehorse City Council,2017,45992300.0
72,Whitehorse City Council,2018,18560888.0
73,Whittlesea City Council,2017,12811500.0
74,Whittlesea City Council,2018,5429000.0
75,Wyndham City Council,2017,6003500.0
76,Wyndham City Council,2018,2681000.0
77,Yarra City Council,2016,22442000.0
78,Yarra City Council,2017,20692000.0
79,Yarra City Council,2018,5770000.0
80,Yarra Ranges Shire Council,2017,915000.0
