CouncilArea,Date,Price
Banyule City Council,2016,46133500.0
Banyule City Council,2017,65909500.0
Banyule City Council,2018,15493500.0
Bayside City Council,2016,132476888.0
Bayside City Council,2017,274017300.0
Bayside City Council,2018,42477000.0
Boroondara City Council,2016,334632500.0
Boroondara City Council,2017,465201000.0
Boroondara City Council,2018,97770000.0
Brimbank City Council,2016,8486000.0
Brimbank City Council,2017,30473500.0
Brimbank City Council,2018,11495000.0
Cardinia Shire Council,2017,910000.0
Casey City Council,2017,8646008.0
Casey City Council,2018,6298000.0
Darebin City Council,2016,43304000.0
Darebin City Council,2017,42387000.0
Darebin City Council,2018,8175000.0
Frankston City Council,2017,5400888.0
Frankston City Council,2018,4130000.0
Glen Eira City Council,2016,54494000.0
Glen Eira City Council,2017,90444000.0
Glen Eira City Council,2018,20806500.0
Greater Dandenong City Council,2017,4132000.0
Greater Dandenong City Council,2018,920000.0
Hobsons Bay City Council,2016,25267000.0
Hobsons Bay City Council,2017,31404000.0
Hobsons Bay City Council,2018,14684000.0
Hume City Council,2016,751000.0
Hume City Council,2017,31314750.0
Hume City Council,2018,7001500.0
Kingston City Council,2016,3230000.0
Kingston City Council,2017,41342500.0
Kingston City Council,2018,13232500.0
Knox City Council,2017,17270000.0
Knox City Council,2018,8922389.0
Macedon Ranges Shire Council,2017,4201000.0
Macedon Ranges Shire Council,2018,940000.0
Manningham City Council,2016,31755800.0
Manningham City Council,2017,133387000.0
Manningham City Council,2018,25174000.0
Maribyrnong City Council,2016,18925000.0
Maribyrnong City Council,2017,34990000.0
Maribyrnong City Council,2018,4900000.0
Maroondah City Council,2017,17931000.0
Maroondah City Council,2018,3002000.0
Melbourne City Council,2016,26966000.0
Melbourne City Council,2017,59479000.0
Melbourne City Council,2018,0.0
Melton City Council,2017,4425500.0
Melton City Council,2018,680000.0
Mitchell Shire Council,2018,600000.0
Monash City Council,2016,14099500.0
Monash City Council,2017,98862766.0
Monash City Council,2018,27454000.0
Moonee Valley City Council,2016,67834999.0
Moonee Valley City Council,2017,117561500.0
Moonee Valley City Council,2018,25238500.0
Moorabool Shire Council,2017,0.0
Moreland City Council,2016,18166000.0
Moreland City Council,2017,44052500.0
Moreland City Council,2018,4350000.0
Nillumbik Shire Council,2017,4538000.0
Nillumbik Shire Council,2018,1720000.0
Port Phillip City Council,2016,34918000.0
Port Phillip City Council,2017,57360000.0
Port Phillip City Council,2018,21785000.0
Stonnington City Council,2016,84447000.0
Stonnington City Council,2017,112349657.0
Stonnington City Council,2018,56700000.0
Whitehorse City Council,2016,1670000.0
Whitehorse City Council,2017,45992300.0
Whitehorse City Council,2018,18560888.0
Whittlesea City Council,2017,12811500.0
Whittlesea City Council,2018,5429000.0
Wyndham City Council,2017,6003500.0
Wyndham City Council,2018,2681000.0
Yarra City Council,2016,22442000.0
Yarra City Council,2017,20692000.0
Yarra City Council,2018,5770000.0
Yarra Ranges Shire Council,2017,915000.0
