Date,Regionname,Price
2016-02-04,Northern Metropolitan,1035000.0
2016-04-16,Northern Metropolitan,0.0
2016-04-23,Northern Metropolitan,700000.0
2016-05-07,Northern Metropolitan,2817000.0
2016-05-14,Northern Metropolitan,441000.0
2016-05-22,Northern Metropolitan,423500.0
2016-05-28,Northern Metropolitan,1982500.0
2016-06-04,Northern Metropolitan,1600000.0
2016-06-18,Northern Metropolitan,1600000.0
2016-07-16,Northern Metropolitan,3223500.0
2016-07-26,Northern Metropolitan,470000.0
2016-07-30,Northern Metropolitan,1957000.0
2016-08-06,Northern Metropolitan,0.0
2016-08-13,Northern Metropolitan,1172500.0
2016-08-22,Northern Metropolitan,3465500.0
2016-09-03,Northern Metropolitan,0.0
2016-09-17,Northern Metropolitan,1845000.0
2016-09-24,Northern Metropolitan,1542000.0
2016-10-08,Northern Metropolitan,5320000.0
2016-10-15,Northern Metropolitan,1310000.0
2016-11-07,Northern Metropolitan,0.0
2016-11-12,Northern Metropolitan,5285000.0
2016-11-19,Northern Metropolitan,1795000.0
2016-11-27,Northern Metropolitan,2375000.0
2016-12-03,Northern Metropolitan,1480000.0
2016-12-10,Northern Metropolitan,1241000.0
2017-02-25,Northern Metropolitan,3542000.0
2017-03-04,Northern Metropolitan,2315000.0
2017-03-18,Northern Metropolitan,3320000.0
